epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,566.736,1.59205,2.44361,0.8771,0.00012,0.00099,0.00011,3e-05,1.86442,3.91917,0.8912,0.000405983,0.000405983,0.000405983
2,1108.07,1.40439,1.22716,0.84606,0.03612,0.23992,0.13378,0.04705,1.98702,2.88755,0.86282,0.000741207,0.000741207,0.000741207
3,1652.19,1.39289,1.10747,0.84115,0.94305,0.21244,0.23765,0.1188,1.52412,1.53417,0.84067,0.000993932,0.000993932,0.000993932
4,2194.58,1.34992,1.06142,0.84143,0.69507,0.2258,0.25052,0.14998,1.29816,1.21315,0.83411,0.00087875,0.00087875,0.00087875
5,2731.66,1.22003,0.98901,0.82583,0.74834,0.26598,0.29571,0.18305,1.23189,0.96116,0.82969,0.000755,0.000755,0.000755
6,3263.43,1.18161,0.93446,0.8216,0.69101,0.29092,0.31457,0.19808,1.1992,0.86335,0.82642,0.00063125,0.00063125,0.00063125
7,3795.69,1.15219,0.8876,0.81726,0.74978,0.32874,0.38902,0.24926,1.14573,0.82771,0.82171,0.0005075,0.0005075,0.0005075
8,4333.73,1.12968,0.85246,0.81774,0.74081,0.35663,0.41379,0.26196,1.12176,0.80226,0.82114,0.00038375,0.00038375,0.00038375
9,4866.41,1.12438,0.82476,0.81511,0.73812,0.39525,0.43801,0.26996,1.13285,0.75318,0.82264,0.00026,0.00026,0.00026
10,5398.42,1.08307,0.7907,0.81387,0.73957,0.42446,0.45804,0.29018,1.08697,0.7306,0.82003,0.00013625,0.00013625,0.00013625
